MODEL.01
PARKFIELD1D
ISOTROPIC
KGS
FLAT EARTH
1-D
CONSTANT VELOCITY
LINE08
LINE09
LINE10
LINE11
H VP VS RHO QP QS ETAP ETAS FREFP FREFS
0.05 4.70 2.31 2.49 0 0 0 0 1.0 1.0
0.05 4.70 2.31 2.49 0 0 0 0 1.0 1.0
0.05 4.70 2.30 2.49 0 0 0 0 1.0 1.0
0.05 4.70 2.31 2.49 0 0 0 0 1.0 1.0
0.05 4.70 2.31 2.49 0 0 0 0 1.0 1.0
0.05 4.70 2.31 2.49 0 0 0 0 1.0 1.0
0.05 4.70 2.31 2.49 0 0 0 0 1.0 1.0
0.05 4.71 2.31 2.49 0 0 0 0 1.0 1.0
0.05 4.71 2.31 2.49 0 0 0 0 1.0 1.0
0.05 4.71 2.31 2.49 0 0 0 0 1.0 1.0
0.05 4.71 2.31 2.49 0 0 0 0 1.0 1.0
0.05 4.72 2.31 2.49 0 0 0 0 1.0 1.0
0.05 4.72 2.31 2.49 0 0 0 0 1.0 1.0
0.05 4.73 2.31 2.49 0 0 0 0 1.0 1.0
0.05 4.73 2.31 2.50 0 0 0 0 1.0 1.0
0.05 4.74 2.32 2.50 0 0 0 0 1.0 1.0
0.05 4.75 2.32 2.50 0 0 0 0 1.0 1.0
0.05 4.75 2.32 2.50 0 0 0 0 1.0 1.0
0.05 4.76 2.32 2.50 0 0 0 0 1.0 1.0
0.05 4.76 2.32 2.50 0 0 0 0 1.0 1.0
0.05 4.77 2.32 2.50 0 0 0 0 1.0 1.0
0.05 4.77 2.32 2.50 0 0 0 0 1.0 1.0
0.05 4.78 2.33 2.50 0 0 0 0 1.0 1.0
0.05 4.79 2.33 2.50 0 0 0 0 1.0 1.0
0.05 4.79 2.33 2.50 0 0 0 0 1.0 1.0
0.05 4.80 2.33 2.50 0 0 0 0 1.0 1.0
0.05 4.80 2.33 2.51 0 0 0 0 1.0 1.0
0.05 4.81 2.33 2.51 0 0 0 0 1.0 1.0
0.05 4.81 2.32 2.51 0 0 0 0 1.0 1.0
0.05 4.82 2.33 2.51 0 0 0 0 1.0 1.0
0.05 4.82 2.33 2.51 0 0 0 0 1.0 1.0
0.05 4.83 2.33 2.51 0 0 0 0 1.0 1.0
0.05 4.83 2.33 2.51 0 0 0 0 1.0 1.0
0.05 4.84 2.33 2.51 0 0 0 0 1.0 1.0
0.05 4.84 2.33 2.51 0 0 0 0 1.0 1.0
0.05 4.85 2.32 2.51 0 0 0 0 1.0 1.0
0.05 4.85 2.32 2.51 0 0 0 0 1.0 1.0
0.05 4.86 2.32 2.51 0 0 0 0 1.0 1.0
0.05 4.86 2.32 2.51 0 0 0 0 1.0 1.0
0.05 4.87 2.32 2.51 0 0 0 0 1.0 1.0
0.05 4.87 2.32 2.52 0 0 0 0 1.0 1.0
0.05 4.88 2.32 2.52 0 0 0 0 1.0 1.0
0.05 4.88 2.32 2.52 0 0 0 0 1.0 1.0
0.05 4.88 2.32 2.52 0 0 0 0 1.0 1.0
0.05 4.88 2.32 2.52 0 0 0 0 1.0 1.0
0.05 4.89 2.31 2.52 0 0 0 0 1.0 1.0
0.05 4.89 2.31 2.52 0 0 0 0 1.0 1.0
0.05 4.90 2.31 2.52 0 0 0 0 1.0 1.0
0.05 4.90 2.31 2.52 0 0 0 0 1.0 1.0
0.05 4.91 2.31 2.52 0 0 0 0 1.0 1.0
0.05 4.91 2.31 2.52 0 0 0 0 1.0 1.0
0.05 4.92 2.31 2.52 0 0 0 0 1.0 1.0
0.05 4.92 2.30 2.52 0 0 0 0 1.0 1.0
0.05 4.93 2.30 2.52 0 0 0 0 1.0 1.0
0.05 4.93 2.30 2.52 0 0 0 0 1.0 1.0
0.05 4.94 2.30 2.52 0 0 0 0 1.0 1.0
0.05 4.94 2.30 2.53 0 0 0 0 1.0 1.0
0.05 4.94 2.30 2.53 0 0 0 0 1.0 1.0
0.05 4.95 2.29 2.53 0 0 0 0 1.0 1.0
0.05 4.95 2.29 2.53 0 0 0 0 1.0 1.0
0.05 4.96 2.30 2.53 0 0 0 0 1.0 1.0
0.05 4.96 2.29 2.53 0 0 0 0 1.0 1.0
0.05 4.96 2.29 2.53 0 0 0 0 1.0 1.0
0.05 4.97 2.29 2.53 0 0 0 0 1.0 1.0
0.05 4.98 2.30 2.53 0 0 0 0 1.0 1.0
0.05 4.99 2.30 2.53 0 0 0 0 1.0 1.0
0.05 4.99 2.30 2.53 0 0 0 0 1.0 1.0
0.05 5.00 2.29 2.53 0 0 0 0 1.0 1.0
0.05 5.00 2.29 2.53 0 0 0 0 1.0 1.0
0.05 5.00 2.29 2.53 0 0 0 0 1.0 1.0
0.05 5.00 2.29 2.54 0 0 0 0 1.0 1.0
0.05 5.01 2.29 2.54 0 0 0 0 1.0 1.0
0.05 5.02 2.29 2.54 0 0 0 0 1.0 1.0
0.05 5.02 2.29 2.54 0 0 0 0 1.0 1.0
0.05 5.03 2.29 2.54 0 0 0 0 1.0 1.0
0.05 5.04 2.30 2.54 0 0 0 0 1.0 1.0
0.05 5.05 2.31 2.54 0 0 0 0 1.0 1.0
0.05 5.05 2.30 2.54 0 0 0 0 1.0 1.0
0.05 5.05 2.29 2.54 0 0 0 0 1.0 1.0
0.05 5.05 2.29 2.54 0 0 0 0 1.0 1.0
0.05 5.06 2.28 2.54 0 0 0 0 1.0 1.0
0.05 5.06 2.29 2.54 0 0 0 0 1.0 1.0
0.05 5.07 2.29 2.55 0 0 0 0 1.0 1.0
0.05 5.08 2.29 2.55 0 0 0 0 1.0 1.0
0.05 5.08 2.30 2.55 0 0 0 0 1.0 1.0
0.05 5.09 2.30 2.55 0 0 0 0 1.0 1.0
0.05 5.10 2.30 2.55 0 0 0 0 1.0 1.0
0.05 5.11 2.31 2.55 0 0 0 0 1.0 1.0
0.05 5.12 2.31 2.55 0 0 0 0 1.0 1.0
