,triID,lon1,lat1,lon2,lat2,lon3,lat3,year,doy,E1,E2,Een,w,theta,Eee,Enn,Decimal time
2395,1,-119.90936012,35.93470336,-119.73803395,35.73126764,-119.53580713,35.49984192,2009,3,0.0,0.0,0.0,-1.5519e-05,69.71,0.0,0.0,2009.0096
5960,2,-120.85305604,36.51590858,-120.7101978,36.25681906,-120.41573098,36.39901513,2009,3,0.0,0.0,0.0,-2.5086e-07,54.56,0.0,0.0,2009.0096
10340,3,-120.9068426,35.93325931,-120.8789002,36.14020593,-121.29033372,35.94571613,2009,3,0.0,0.0,0.0,2.9436e-08,28.04,0.0,0.0,2009.0096
16484,4,-120.8789002,36.14020593,-121.05089822,36.30215081,-121.29033372,35.94571613,2009,3,0.0,0.0,0.0,7.4885e-07,12.72,0.0,0.0,2009.0096
21545,5,-120.9068426,35.93325931,-120.74881504,36.1068411,-120.8789002,36.14020593,2009,3,0.0,0.0,0.0,-1.5822e-06,95.36,0.0,0.0,2009.0096
23570,6,-120.7101978,36.25681906,-120.43988183,36.12323598,-120.41573098,36.39901513,2009,3,0.0,0.0,0.0,-4.2134e-07,50.75,0.0,0.0,2009.0096
28418,7,-120.43988183,36.12323598,-120.27697998,36.3044271,-120.41573098,36.39901513,2009,3,0.0,0.0,0.0,-6.4139e-07,13.03,0.0,0.0,2009.0096
32106,8,-120.27697998,36.3044271,-120.43988183,36.12323598,-120.36356109,36.05165469,2009,3,0.0,0.0,0.0,5.8643e-07,132.02,0.0,0.0,2009.0096
35359,9,-120.86973479,35.63597366,-121.0029585,35.55175092,-120.80814031,35.42576649,2009,3,0.0,0.0,0.0,-1.882e-06,129.25,0.0,0.0,2009.0096
40260,10,-121.0029585,35.55175092,-120.86973479,35.63597366,-120.96999729,35.6696612,2009,3,0.0,0.0,0.0,8.6648e-07,101.02,0.0,0.0,2009.0096
48536,11,-121.06201563,35.79064667,-120.9068426,35.93325931,-121.29033372,35.94571613,2009,3,0.0,0.0,0.0,2.37e-06,177.58,0.0,0.0,2009.0096
50722,12,-120.00067733,35.68673127,-119.73803395,35.73126764,-119.90936012,35.93470336,2009,3,0.0,0.0,0.0,-5.6904e-07,88.34,0.0,0.0,2009.0096
56911,13,-119.73803395,35.73126764,-120.00067733,35.68673127,-119.53580713,35.49984192,2009,3,0.0,0.0,0.0,1.5156e-07,111.44,0.0,0.0,2009.0096
60809,14,-120.98148099,36.4171792,-120.85305604,36.51590858,-121.18843173,36.55951691,2009,3,0.0,0.0,0.0,-9.2554e-07,120.26,0.0,0.0,2009.0096
65910,15,-120.98148099,36.4171792,-120.7101978,36.25681906,-120.85305604,36.51590858,2009,3,0.0,0.0,0.0,-7.2924e-07,77.83,0.0,0.0,2009.0096
70410,16,-120.98148099,36.4171792,-121.05089822,36.30215081,-120.7101978,36.25681906,2009,3,0.0,0.0,0.0,-1.3922e-06,98.72,0.0,0.0,2009.0096
73833,17,-120.74881504,36.1068411,-120.76684364,36.18052299,-120.8789002,36.14020593,2009,3,0.0,0.0,0.0,1.1646e-05,150.22,0.0,0.0,2009.0096
76125,18,-120.76684364,36.18052299,-121.05089822,36.30215081,-120.8789002,36.14020593,2009,3,0.0,0.0,0.0,5.4376e-06,173.13,0.0,0.0,2009.0096
79544,19,-120.64477031,35.92277655,-120.9068426,35.93325931,-120.75075094,35.79161038,2009,3,0.0,0.0,0.0,-9.3913e-06,60.57,0.0,0.0,2009.0096
84793,20,-120.54299304,36.0893639,-120.43988183,36.12323598,-120.7101978,36.25681906,2009,3,0.0,0.0,0.0,1.2288e-07,16.11,0.0,0.0,2009.0096
86741,21,-120.86973479,35.63597366,-120.84238078,35.69707615,-120.96999729,35.6696612,2009,3,0.0,0.0,0.0,1.5744e-06,49.27,0.0,0.0,2009.0096
92025,22,-120.84238078,35.69707615,-121.06201563,35.79064667,-120.96999729,35.6696612,2009,3,0.0,0.0,0.0,-4.228e-06,39.49,0.0,0.0,2009.0096
98349,23,-120.9068426,35.93325931,-120.84238078,35.69707615,-120.75075094,35.79161038,2009,3,0.0,0.0,0.0,1.2877e-06,1.63,0.0,0.0,2009.0096
105841,24,-121.06201563,35.79064667,-120.84238078,35.69707615,-120.9068426,35.93325931,2009,3,0.0,0.0,0.0,1.213e-06,11.97,0.0,0.0,2009.0096
106725,25,-121.0029585,35.55175092,-121.06075198,35.71125093,-121.29033372,35.94571613,2009,3,0.0,0.0,0.0,-6.153e-07,150.64,0.0,0.0,2009.0096
114872,26,-121.06075198,35.71125093,-121.06201563,35.79064667,-121.29033372,35.94571613,2009,3,0.0,0.0,0.0,-1.0724e-05,70.66,0.0,0.0,2009.0096
118064,27,-121.06075198,35.71125093,-121.0029585,35.55175092,-120.96999729,35.6696612,2009,3,0.0,0.0,0.0,-3.5093e-06,121.22,0.0,0.0,2009.0096
122258,28,-121.06201563,35.79064667,-121.06075198,35.71125093,-120.96999729,35.6696612,2009,3,0.0,0.0,0.0,-1.2588e-05,70.53,0.0,0.0,2009.0096
126844,29,-120.13063554,35.80127902,-120.00067733,35.68673127,-119.90936012,35.93470336,2009,3,0.0,0.0,0.0,-5.1322e-07,41.12,0.0,0.0,2009.0096
132097,30,-120.48043221,35.62479993,-120.86973479,35.63597366,-120.80814031,35.42576649,2009,3,0.0,0.0,0.0,2.5413e-06,126.63,0.0,0.0,2009.0096
138974,31,-120.35382694,35.44045065,-120.48043221,35.62479993,-120.80814031,35.42576649,2009,3,0.0,0.0,0.0,8.1949e-07,151.06,0.0,0.0,2009.0096
143921,32,-120.00067733,35.68673127,-120.11249858,35.53417298,-119.53580713,35.49984192,2009,3,0.0,0.0,0.0,1.1586e-08,108.06,0.0,0.0,2009.0096
147257,33,-120.11249858,35.53417298,-120.35382694,35.44045065,-119.53580713,35.49984192,2009,3,0.0,0.0,0.0,5.421e-07,119.31,0.0,0.0,2009.0096
151911,34,-121.13485627,36.42590169,-120.98148099,36.4171792,-121.18843173,36.55951691,2009,3,0.0,0.0,0.0,-2.6711e-06,105.34,0.0,0.0,2009.0096
157229,35,-120.98148099,36.4171792,-121.13485627,36.42590169,-121.05089822,36.30215081,2009,3,0.0,0.0,0.0,-1.9441e-06,111.54,0.0,0.0,2009.0096
165034,36,-121.13485627,36.42590169,-121.18843173,36.55951691,-121.29033372,35.94571613,2009,3,0.0,0.0,0.0,1.0804e-06,3.59,0.0,0.0,2009.0096
165777,37,-121.05089822,36.30215081,-121.13485627,36.42590169,-121.29033372,35.94571613,2009,3,0.0,0.0,0.0,7.5861e-07,141.77,0.0,0.0,2009.0096
