,dvvmethod,modelcase,freqband,a0,p1,a_{precip},p2,t_{shiftdays},S1,log10tmin1,log10tmax1,S2,log10tmin2,log10tmax2,b_{lin},logf,AIC,BIC,residu_absmean,residu_var
BP.CCRB-BP.CCRB,mwcs,wlin,0.9-1.2,-0.02074191353608426,-0.0037426702608484514,0.03351640458037854,-0.0005408863894522624,122.95133666708853,0.005631793331720496,1.5889130396249822,9.789637290793143,0.028909552162584503,6.678093762105664,8.073121713726177,5.390063992364798e-06,-3.7024258338043112,-8283.259157101582,-8228.547486762325,0.016426723448817168,0.0006009109812777896
BP.CCRB-BP.EADB,mwcs,wlin,0.9-1.2,-0.038285861141408375,-0.006255047227463763,0.11259762158122666,-0.0005688955820816639,146.21879503436188,0.002111402651389671,6.4053636046685645,10.08182929031356,0.04314653937737901,7.016038749041256,8.131867708222762,7.81215270848439e-06,-3.5359325973334568,-8122.995175251591,-8068.283504912335,0.02042579084794496,0.0008529857592347844
BP.CCRB-BP.JCSB,mwcs,wlin,0.9-1.2,-0.0195201798743841,-0.004521142091080408,0.149942318808888,-0.000558666445585511,39.85534192110919,0.0020531161725376845,-0.325301908136308,9.284092425007117,0.1299890517209383,7.903902370331558,8.046650629627655,3.391120927789203e-06,-2.6574978887850986,-7304.071520409677,-7249.359850070421,0.045844579591552304,0.004973959169028815
BP.CCRB-BP.LCCB,mwcs,wlin,0.9-1.2,-0.024924891075026424,0.0006292065271908884,0.513287459041198,-0.0006154804711439784,146.85553653990453,0.0039324721559403945,6.96600342816959,10.00757937119719,0.01946367081042662,6.587745867439002,8.519179965886055,7.408519701492794e-06,-3.666923387576169,-8269.874918069412,-8215.163247730155,0.01709243982332666,0.0006392661010793086
BP.CCRB-BP.MMNB,mwcs,wlin,0.9-1.2,-0.04020079722917179,-0.004174278737206945,0.04549348183672203,-0.00018548728104506593,45.57689052829684,0.00013850740901846418,3.210780695394925,8.370531477258524,0.038326802820298544,7.080592485311017,8.421899574990107,8.211088216883022e-06,-3.5970909679769494,-8228.883954804636,-8174.1722844653805,0.01611507335753296,0.000722108259104597
BP.CCRB-BP.SCYB,mwcs,wlin,0.9-1.2,-0.028535617725711625,-0.006368732024904655,0.9207498025697058,0.000621431502294047,7.721191647729182,0.0032456663805900078,7.169092257944915,9.460895139242503,0.03330321908806947,7.205055871822157,8.375204746276344,6.448636744995054e-06,-3.7940515449998986,-8380.533078869028,-8325.821408529771,0.01476013953112044,0.0005104883288730732
BP.CCRB-BP.SMNB,mwcs,wlin,0.9-1.2,-0.01920618259518927,-0.0027983895510926334,0.6630072509980471,0.0003907421993702762,155.12514370643555,0.0036251962639581303,3.3081424494752945,10.019951602404307,0.02731099880203252,6.339960003013366,8.287180459992856,6.764860248040253e-06,-3.8901788008739215,-8507.569377236932,-8452.857706897676,0.014351787645269287,0.0004083585757841011
BP.CCRB-BP.VCAB,mwcs,wlin,0.9-1.2,-0.020143919107476566,-0.0021322682058219017,0.002030224134156905,-0.0011790980529823955,137.19211833752837,0.007333868434045096,7.833156674445041,10.172044402202982,0.02063446012238585,6.057747102075422,8.339037264450706,8.67020144625323e-06,-3.5363698122284526,-8143.875921869636,-8089.16425153038,0.017172734404863697,0.0008329019605170638
BP.EADB-BP.EADB,mwcs,wlin,0.9-1.2,-0.021727367553321084,0.000939138637026858,0.517781020214443,0.00034678818249244563,1.0713797949772186,0.005899817818698199,0.03865655680095603,9.183431048937345,0.01200347471506458,0.3905856598502915,9.415788056172056,9.099218173016066e-06,-3.381666015853128,-7913.815981265786,-7859.10431092653,0.02534988083246197,0.001157477503493168
BP.EADB-BP.FROB,mwcs,wlin,0.9-1.2,-0.00648214430076835,-0.005358035796720862,0.020619215108496125,-0.0005648481697953518,2.34862943624438,0.0018771390888167392,4.538132387887864,9.081624266115064,0.07858359175158358,7.7235968354925175,8.158297486721944,2.0760366595839087e-06,-2.692089093579093,-7326.711189542739,-7271.999519203483,0.0482029907775117,0.004544409811382058
