,dvvmethod,modelcase,freqband,a0,p1,a_{precip},p2,t_{shiftdays},S1,log10tmin1,log10tmax1,S2,log10tmin2,log10tmax2,b_{lin},logf,AIC,BIC,residu_absmean,residu_var
BP.CCRB-BP.CCRB,stretching,base,0.9-1.2,-0.012193511860546234,0.0020040522061763066,0.00035302438011304403,0.0017620052300752565,14.930648884309964,0.024275547792561934,6.137136831095556,7.7610594865803595,0.06919194597523297,7.3753544626799155,8.197258729867302,,-3.830435850202959,-8242.18295944762,-8191.679879134461,0.02034670288766471,0.0006560052236572251
BP.CCRB-BP.EADB,stretching,base,0.9-1.2,0.005398387922514858,0.0012891181128233515,0.0009964919906467907,0.00064118517541752,6.476214977458767,0.029047466878272657,6.756409006857247,8.360126734175376,0.2629243489810817,7.954741273819064,8.19808951120016,,-4.05338293696846,-8045.625435515029,-7995.122355201869,0.021842407059760878,0.0009915976635653425
BP.CCRB-BP.FROB,stretching,base,0.9-1.2,0.01868275041917629,-0.006876308941886471,0.5863278564971388,-0.00040844224211267644,127.56846758059262,0.03299419405530419,7.051506509430631,8.400547762287342,0.09945914764493854,7.9513375563455915,8.38812852844119,,-4.905117542527409,-8203.813099552774,-8153.310019239614,0.02085943506458369,0.0009180845268625165
BP.CCRB-BP.JCSB,stretching,base,0.9-1.2,0.03623475721547735,-0.012311826600049872,0.06068250614801046,-0.0009444245807271568,105.44780534794153,0.01845974939309078,6.62593535426625,8.934420500914745,0.048320565191426745,7.965159384821532,8.698501417489611,,-7.2455841969538834,-7650.404468220625,-7599.9013879074655,0.03492694004080262,0.0023935581719408813
BP.CCRB-BP.LCCB,stretching,base,0.9-1.2,0.011039919495237456,0.0008785307809264378,0.00019664785119987815,0.0001679635639092345,52.95673234376688,0.01315095592288187,7.844258014591282,8.518335743840334,0.03841959580094822,7.056437117371294,8.662361970151712,,-3.89619680693903,-8178.537156209783,-8128.034075896623,0.02174592210283703,0.0007677961950119638
BP.CCRB-BP.MMNB,stretching,base,0.9-1.2,0.004642734609869746,0.0007555885763251168,0.00047658812762157304,0.0005979421684221516,106.81183741571762,0.08779461668490382,7.617443790344365,8.015034400161744,0.18695904210351869,7.9583418393400605,8.246081655793093,,-3.8191380217307502,-8086.185582530525,-8035.682502217365,0.023628016270490087,0.0009525023720540046
BP.CCRB-BP.SCYB,stretching,base,0.9-1.2,-0.007394575368367309,0.0016383096687913863,0.000647353756232322,0.0016413596764741714,43.31849642808483,0.03958149336997982,7.84095546259658,8.289195798338822,0.1313319851014762,7.620707168715495,8.027705737574207,,-4.293170309685471,-8422.126956355998,-8371.623876042839,0.016662821096496305,0.0004680539319071483
BP.CCRB-BP.SMNB,stretching,base,0.9-1.2,-0.013930061906658197,0.0024731794852628974,0.0008913578365167788,0.0016368762660544012,12.840953426911273,0.057189432819969285,7.170476455235489,7.5924251640194145,0.20482994014879338,7.552309420434365,7.8703391061067975,,-3.784122954228059,-8169.74406583133,-8119.24098551817,0.021217968780169093,0.0008091075267564531
BP.CCRB-BP.VCAB,stretching,base,0.9-1.2,-0.009075090655029653,0.0019936228108842426,0.00019007402368533102,0.0007584230464571423,11.987406996283418,0.02582863448273756,7.550545077622258,7.927558735694929,0.7427433096847492,7.434726838300614,7.516232943122533,,-3.264515493880975,-7687.643805270768,-7637.140724957609,0.03249485313833911,0.0020927005113846263
BP.EADB-BP.EADB,stretching,base,0.9-1.2,0.000924591689599903,0.0017580993537378868,0.0003949577421147506,0.00026417075920808733,97.04782663934196,0.1231841504846363,7.4023733086061645,7.6614474125281635,0.32362092056074665,7.929280244795197,8.11611784752608,,-3.9987256825591526,-8210.258183068945,-8159.755102755786,0.020093000480848174,0.0006446853157848866
