,dvvmethod,modelcase,freqband,a0,p1,a_{precip},p2,t_{shiftdays},S1,log10tmin1,log10tmax1,S2,log10tmin2,log10tmax2,b_{lin},logf,AIC,BIC,residu_absmean,residu_var
BP.CCRB-BP.CCRB,stretching,wlin,0.9-1.2,-0.04903401735358866,0.00327139185106785,0.20753135712230197,0.0017262335839555744,0.8613707496595162,0.004429267952284168,7.9486846225156285,11.991757114201853,0.346551170541637,7.44705799466176,7.56499402423598,1.475742658682504e-05,-3.9894965695400164,-8371.967718088545,-8317.256047749288,0.017503127786365962,0.0005029961965081787
BP.CCRB-BP.EADB,stretching,wlin,0.9-1.2,-0.04165119232471704,-0.00432454720867737,0.014153024025097811,-0.0003562423724167476,67.86206708632652,0.017832093470456462,6.413259574389799,8.217461644265214,0.3499531714872832,7.947088419527518,8.11959036096315,9.743241602418293e-06,-4.377564649258361,-8145.278739548977,-8090.567069209721,0.019909538953654427,0.0008096076721738288
BP.CCRB-BP.FROB,stretching,wlin,0.9-1.2,-0.000698090437267915,-0.006346514351355478,0.07426317023870388,-0.00035862041204389204,129.90741395708227,0.009618140445324238,1.928843700960468,10.084232120439331,0.030375123494616574,6.8444771706275365,8.547113594584985,8.164299904882666e-06,-9.39291303568844,-8260.965974144441,-8206.254303805184,0.019323981909171364,0.0008157115697156551
BP.CCRB-BP.JCSB,stretching,wlin,0.9-1.2,-0.0023450919613533724,-0.0088100166757932,0.039834537574531606,-0.0012069105603044214,103.8434403290097,0.005897853975073159,6.897493160170107,10.51803269663486,0.01232258684533798,6.550175299087845,9.204997475062823,8.47506102918787e-06,-7.916553607640524,-7664.62953573276,-7609.917865393504,0.03445685466771956,0.002338794482466639
BP.CCRB-BP.LCCB,stretching,wlin,0.9-1.2,-0.031082799961497803,-0.0019824617938296834,0.0007575992842924612,-0.00011688386572149053,74.6890483211856,0.001534305049028338,6.785370008410969,11.530545097774844,0.011450593001537931,6.250349026299347,11.08925196909552,2.1366937744054176e-05,-4.341096744733236,-8344.429259409395,-8289.717589070138,0.01833887204440477,0.000547429429414067
BP.CCRB-BP.MMNB,stretching,wlin,0.9-1.2,-0.04471771218448837,-0.0025887202891074317,0.002124783141232306,-0.00042575679609972906,19.06127276185709,0.020228717312558413,7.0868969810967535,8.42125122579298,0.1413140591232041,7.849953018491258,8.187709738263477,1.1156122525696494e-05,-3.969835627641555,-8207.88871827611,-8153.177047936854,0.020314499911112956,0.0007436158269507596
BP.CCRB-BP.SCYB,stretching,wlin,0.9-1.2,-0.05228833147097013,-0.005048659658059401,0.6755739982300533,0.0011799575375615236,50.055631004246045,0.005645705566137742,7.589167242745265,8.449997514805993,0.6457545611751766,7.825532692041096,7.904026630850034,1.0246760812809876e-05,-4.537506134603996,-8602.0332182746,-8547.321547935344,0.013824781665919286,0.00032597766937645067
BP.CCRB-BP.SMNB,stretching,wlin,0.9-1.2,-0.0647655520139398,-0.009822821535408314,0.39548354950069226,0.0009223989572610113,5.172291833230296,0.009782956057798279,5.550104988413762,7.608410825528126,0.15998913484509344,7.4846008316791455,7.836020191080684,1.2265064871050867e-05,-4.064691218665411,-8348.948212028996,-8294.23654168974,0.017133951912003474,0.000561831962647112
BP.CCRB-BP.VCAB,stretching,wlin,0.9-1.2,-0.01945406662941277,-0.0027507258524888207,0.9375788233094109,-0.0010101699944905335,129.43330516268344,0.003088029278988143,7.104900322755486,11.576867827558782,0.01752993582823287,4.560577932976565,8.947054724713793,1.0560391158690882e-05,-3.3818113170939488,-7708.332008790867,-7653.620338451611,0.03218604331376518,0.002000000937919042
BP.EADB-BP.EADB,stretching,wlin,0.9-1.2,-0.04384714860111412,-0.0009256034218419831,0.0007990822907546555,-0.0003733583368007418,62.281426978134945,0.013338700012405953,6.750895977504557,8.55992419279599,0.04223695594238556,7.453640549252105,8.709590594041503,1.3867803045373188e-05,-4.400088752239881,-8447.891981660583,-8393.180311321326,0.015724593621869336,0.0003988818542853131
BP.EADB-BP.FROB,stretching,wlin,0.9-1.2,-0.03453127953864234,-0.003291562399070252,0.0022928818684473905,-0.00047503039005593784,118.22046903917226,0.008352356121448606,-0.6908194165277226,7.898868056493758,0.021376056382441964,7.06118225165994,9.44203486123607,1.4271930064750856e-05,-8.96560858680048,-8331.444046242372,-8276.732375903115,0.018889064287866894,0.0006197529584252476
