sta1,sta2,distance[km],coda_init[s],b_stretching[%/y],b_mwcs[%/y]
BP.CCRB,BP.CCRB,0.0,5.0,0.00445,0.00178
BP.VARB,BP.VARB,0.0,5.0,,
BP.SMNB,BP.SMNB,0.0,5.0,0.00441,0.00135
BP.SCYB,BP.SCYB,0.0,5.0,0.00304,0.00284
BP.RMNB,BP.RMNB,0.0,5.0,,
BP.MMNB,BP.MMNB,0.0,5.0,0.005,0.00393
BP.VCAB,BP.VCAB,0.0,5.0,0.00706,0.00323
BP.JCSB,BP.JCSB,0.0,5.0,,
BP.JCNB,BP.JCNB,0.0,5.0,,
BP.GHIB,BP.GHIB,0.0,5.0,0.01335,
BP.FROB,BP.FROB,0.0,5.0,,
BP.EADB,BP.EADB,0.0,5.0,0.00491,0.003
BP.LCCB,BP.LCCB,0.0,5.0,0.00731,0.00526
BP.JCSB,BP.VARB,1.3,5.0,,
BP.JCNB,BP.JCSB,1.99,5.0,,
BP.JCNB,BP.VARB,2.03,5.0,,
BP.EADB,BP.JCSB,3.06,6.11,,
BP.LCCB,BP.MMNB,3.09,6.18,0.00749,0.00263
BP.CCRB,BP.SMNB,3.1,6.19,0.00466,0.00252
BP.LCCB,BP.SCYB,3.83,7.66,0.00436,0.00211
BP.FROB,BP.VARB,3.97,7.94,,
BP.LCCB,BP.RMNB,4.02,8.04,,
BP.EADB,BP.VARB,4.07,8.15,,
BP.CCRB,BP.LCCB,4.22,8.44,0.00481,0.00253
BP.CCRB,BP.VCAB,4.26,8.51,,0.00259
BP.FROB,BP.VCAB,4.41,8.82,,
BP.FROB,BP.JCSB,4.91,9.81,,
BP.EADB,BP.JCNB,4.91,9.83,,
BP.CCRB,BP.MMNB,5.01,10.03,0.00345,0.00305
BP.FROB,BP.MMNB,5.12,10.24,,
BP.MMNB,BP.VCAB,5.17,10.33,,0.00335
BP.MMNB,BP.RMNB,5.19,10.38,,
BP.RMNB,BP.SCYB,5.39,10.79,,
BP.MMNB,BP.VARB,5.56,11.12,,
BP.SCYB,BP.SMNB,5.62,11.24,0.003,0.00244
BP.FROB,BP.JCNB,5.92,11.83,,
BP.CCRB,BP.SCYB,5.95,11.9,0.00373,0.00227
BP.LCCB,BP.SMNB,5.97,11.95,0.00891,0.00173
BP.EADB,BP.FROB,6.06,12.12,,
BP.JCNB,BP.MMNB,6.17,12.34,,
BP.LCCB,BP.VCAB,6.72,13.45,-0.00097,0.00277
BP.JCSB,BP.MMNB,6.83,13.66,0.00483,
BP.MMNB,BP.SCYB,6.92,13.84,0.00252,0.00223
BP.SMNB,BP.VCAB,7.05,14.09,0.00526,0.00413
BP.CCRB,BP.FROB,7.77,15.54,,
BP.MMNB,BP.SMNB,7.78,15.57,0.00337,0.00271
BP.VARB,BP.VCAB,7.86,15.71,,
BP.JCNB,BP.RMNB,8.05,16.1,,
BP.FROB,BP.LCCB,8.06,16.11,,
BP.CCRB,BP.RMNB,8.24,16.48,,
BP.LCCB,BP.VARB,8.52,17.04,,
BP.RMNB,BP.VARB,8.75,17.5,,
BP.JCNB,BP.LCCB,8.77,17.55,0.00679,
BP.JCSB,BP.VCAB,9.02,18.04,0.00292,
BP.JCNB,BP.VCAB,9.47,18.95,,
BP.EADB,BP.MMNB,9.49,18.98,0.00568,0.00535
BP.JCSB,BP.RMNB,9.68,19.37,,
BP.RMNB,BP.SMNB,9.72,19.44,,
BP.SCYB,BP.VCAB,9.75,19.49,0.00489,0.00155
BP.JCSB,BP.LCCB,9.75,19.5,0.00587,
BP.EADB,BP.GHIB,9.75,19.51,,0.00712
BP.FROB,BP.RMNB,10.01,20.02,,
BP.CCRB,BP.VARB,10.04,20.09,,
BP.RMNB,BP.VCAB,10.15,20.3,,
BP.EADB,BP.VCAB,10.47,20.93,0.00649,0.0034
BP.FROB,BP.SMNB,10.85,21.7,,
BP.CCRB,BP.JCNB,11.05,22.11,,
BP.CCRB,BP.JCSB,11.34,22.67,,
BP.FROB,BP.SCYB,11.81,23.62,,
BP.SCYB,BP.VARB,12.28,24.56,,
BP.JCNB,BP.SCYB,12.31,24.63,,
BP.EADB,BP.LCCB,12.53,25.06,0.00767,0.00317
BP.GHIB,BP.JCSB,12.6,25.19,0.00868,
BP.EADB,BP.RMNB,12.73,25.47,,
BP.SMNB,BP.VARB,13.06,26.13,,
BP.JCSB,BP.SCYB,13.47,26.95,,
BP.CCRB,BP.EADB,13.52,27.03,0.00402,0.00269
BP.GHIB,BP.VARB,13.77,27.54,,
BP.JCNB,BP.SMNB,13.94,27.88,,
BP.GHIB,BP.JCNB,14.05,28.11,,
BP.JCSB,BP.SMNB,14.36,28.72,,
BP.FROB,BP.GHIB,15.34,30.67,,
BP.EADB,BP.SCYB,16.32,32.64,0.00423,0.0026
BP.EADB,BP.SMNB,16.61,33.21,0.00276,0.00224
BP.GHIB,BP.MMNB,19.24,38.49,,
BP.GHIB,BP.VCAB,19.55,39.11,,
BP.GHIB,BP.RMNB,22.11,44.21,,
BP.GHIB,BP.LCCB,22.27,44.55,,
BP.CCRB,BP.GHIB,23.07,46.15,,
BP.GHIB,BP.SCYB,26.05,52.09,,
BP.GHIB,BP.SMNB,26.17,52.33,,
