,dvvmethod,modelcase,freqband,a0,p1,a_{precip},p2,t_{shiftdays},S1,log10tmin1,log10tmax1,S2,log10tmin2,log10tmax2,b_{lin},logf,AIC,BIC,residu_absmean,residu_var
BP.CCRB-BP.CCRB,stretching,base,0.9-1.2,0.0045734822,-0.0000804980,0.0242600000,0.0015597329,1.8981853011,0.0196662653,6.2930000000,8.6283671862,0.0403061540,6.9960000000,8.5698566488,,-3.6766896792,-7350.5608121902,-7301.1701066844,0.0230123883,0.0008510463
BP.CCRB-BP.EADB,stretching,base,0.9-1.2,0.0112267872,-0.0003225003,0.0242600000,0.0006363328,6.5932362164,0.0275541407,6.2930000000,8.5459709493,0.0581594060,6.9960000000,8.5550531358,,-3.8684917893,-7002.2377331942,-6953.1964364713,0.0251071325,0.0011500742
BP.CCRB-BP.FROB,stretching,base,0.9-1.2,0.0200118004,-0.0016280544,0.0242600000,-0.0003264307,89.2894950204,0.0197922658,6.2930000000,8.8888901346,0.0398544164,6.9960000000,8.5245139063,,-4.7420177696,-5586.7511991541,-5540.4903360876,0.0216119661,0.0010411790
BP.CCRB-BP.JCSB,stretching,base,0.9-1.2,0.0297483763,-0.0063684925,0.0242600000,-0.0012618724,89.7009065664,0.0140694763,6.2930000000,9.1235599501,0.0281988915,6.9960000000,8.7285434469,,-9.2285226072,-6103.8057431093,-6055.8185043659,0.0359760512,0.0024587035
BP.CCRB-BP.LCCB,stretching,base,0.9-1.2,0.0147558085,-0.0001050604,0.0242600000,0.0004601853,57.6683899519,0.0096207599,6.2930000000,8.6597031484,0.0400275919,6.9960000000,8.7015059652,,-3.8358005535,-7142.3531438202,-7093.3118470973,0.0231455797,0.0008444196
BP.CCRB-BP.MMNB,stretching,base,0.9-1.2,0.0057129298,-0.0001033693,0.0242600000,0.0006053532,89.5232598920,0.0247344660,6.2930000000,8.5494792280,0.0502813951,6.9960000000,8.4788504895,,-3.7095260496,-6760.3321926676,-6711.7637265190,0.0251676108,0.0010760247
BP.CCRB-BP.SCYB,stretching,base,0.9-1.2,0.0063217796,-0.0000439740,0.0242600000,0.0013486147,43.0985945293,0.0200368033,6.2930000000,8.5616582397,0.0502308963,6.9960000000,8.4990395054,,-4.1579741150,-7241.7462697687,-7192.7322768118,0.0187550631,0.0006397984
BP.CCRB-BP.SMNB,stretching,base,0.9-1.2,-0.0056264463,-0.0000159994,0.0242600000,0.0013167757,3.1368737051,0.0219215607,6.2930000000,8.3291264506,0.0573766488,6.9960000000,8.2877702528,,-3.6520316872,-6829.3639539914,-6780.7388839643,0.0227280923,0.0009921393
BP.CCRB-BP.VCAB,stretching,base,0.9-1.2,0.0098054370,-0.0010362407,0.0242600000,-0.0007706746,85.9250571279,0.0157322246,6.2930000000,8.6362052547,0.0337834400,6.9960000000,8.6184236731,,-3.2843251132,-6593.7534632109,-6544.9046104749,0.0341625562,0.0022960585
BP.EADB-BP.EADB,stretching,base,0.9-1.2,0.0150396288,-0.0000309073,0.0242600000,-0.0002970636,58.4650588385,0.0265835065,6.2930000000,8.5579580751,0.0532397597,6.9960000000,8.5594462249,,-3.7226070376,-7917.7583826297,-7867.4255179365,0.0236408211,0.0009121958
BP.EADB-BP.FROB,stretching,base,0.9-1.2,0.0089039439,-0.0010000002,0.0242600000,0.0005869632,88.8451005186,0.0114740626,6.2930000000,8.5395537276,0.0410793715,6.9960000000,8.6446038125,,-5.2283233176,-6372.6805055538,-6324.8430814904,0.0234365288,0.0010414873
BP.EADB-BP.GHIB,stretching,base,0.9-1.2,0.0116528217,-0.0000287656,0.0242600000,0.0031801785,11.7077554237,0.0300385620,6.2930000000,8.6863341229,0.0605868038,6.9960000000,8.5594788488,,-2.7346935296,-6150.9214396105,-6102.1281425292,0.0578200026,0.0059927630
BP.EADB-BP.JCNB,stretching,base,0.9-1.2,-0.0328451847,-0.0000264627,0.0242600000,0.0023531656,3.2511052868,0.0312295752,6.2930000000,8.5202331280,0.0673061313,6.9960000000,8.4975920559,,-2.8801625618,-5263.8952397289,-5217.0308975523,0.0597111138,0.0055050619
BP.EADB-BP.JCSB,stretching,base,0.9-1.2,0.0091016162,-0.0002981700,0.0242600000,0.0042247586,62.3480716805,0.0597186976,6.2930000000,8.5980570863,0.1204873808,6.9960000000,8.6213159798,,-2.0300669215,-5461.3974539917,-5413.0292308686,0.1160204444,0.0187554767
BP.EADB-BP.LCCB,stretching,base,0.9-1.2,0.0082899873,-0.0000136862,0.0242600000,0.0010534132,89.3582134885,0.0342557780,6.2930000000,8.6213675165,0.0701938991,6.9960000000,8.5422948748,,-3.2453970828,-7436.9121596094,-7386.6529901324,0.0371178890,0.0022169463
BP.EADB-BP.MMNB,stretching,base,0.9-1.2,0.0086773826,-0.0005058832,0.0242600000,0.0014514828,50.0186048562,0.0190667954,6.2930000000,8.5931974985,0.0603617129,6.9960000000,8.6157956298,,-3.3970847824,-7214.4422420703,-7164.8675241965,0.0298896450,0.0014601988
BP.EADB-BP.SCYB,stretching,base,0.9-1.2,0.0181651351,-0.0028018616,0.0242600000,-0.0004305297,88.0261133136,0.0194422778,6.2930000000,8.6006221814,0.0592746163,6.9960000000,8.6564264267,,-5.5154445009,-7602.6887310580,-7552.6534022681,0.0238197318,0.0011471283
BP.EADB-BP.SMNB,stretching,base,0.9-1.2,0.0064044411,-0.0000196837,0.0242600000,0.0018481151,3.4603393069,0.0182815840,6.2930000000,8.5663494316,0.0527778523,6.9960000000,8.5710445553,,-9.1170859290,-7483.1398916348,-7433.5131129419,0.0218553744,0.0008765743
BP.EADB-BP.VCAB,stretching,base,0.9-1.2,0.0009058827,-0.0000663182,0.0242600000,0.0010812934,89.8439156973,0.0281203410,6.2930000000,8.6082156589,0.0573088916,6.9960000000,8.5610845030,,-3.2232739986,-7309.0864733039,-7259.0260661349,0.0363127865,0.0022448855
BP.FROB-BP.JCSB,stretching,base,0.9-1.2,0.0468467716,-0.0038132483,0.0242600000,-0.0018841229,0.0231650137,0.0113296905,6.2930000000,9.1184355294,0.0229238454,6.9960000000,8.9481088746,,-8.6621857417,-5700.3272922507,-5653.2362226817,0.0321826487,0.0022495823
BP.FROB-BP.LCCB,stretching,base,0.9-1.2,0.0091941637,-0.0000307692,0.0242600000,0.0017074740,0.0556725622,0.0137099767,6.2930000000,8.5244646480,0.0311461652,6.9960000000,8.6715744101,,-8.0519270733,-6279.9039004732,-6232.1876895616,0.0215298227,0.0011146313
BP.FROB-BP.MMNB,stretching,base,0.9-1.2,0.0218252040,-0.0000147015,0.0242600000,0.0007681860,1.9715538186,0.0151030397,6.2930000000,8.7786412520,0.0365062505,6.9960000000,8.7552013432,,-3.6659508264,-5764.3931658900,-5717.5288237134,0.0285054504,0.0014129582
BP.FROB-BP.SCYB,stretching,base,0.9-1.2,0.0158934575,-0.0000384997,0.0242600000,0.0012564992,47.6524791444,0.0057706664,6.2930000000,8.7795248017,0.0273258032,6.9960000000,8.7468181166,,-5.7104297279,-6085.2919453377,-6037.8530253263,0.0255167210,0.0012824338
BP.FROB-BP.SMNB,stretching,base,0.9-1.2,0.0097881564,-0.0000214574,0.0242600000,0.0003521636,89.3943378573,0.0123823167,6.2930000000,8.8006048586,0.0252696777,6.9960000000,8.6158140878,,-7.0307574557,-6376.8006963014,-6329.1762055815,0.0205383942,0.0007748357
BP.FROB-BP.VCAB,stretching,base,0.9-1.2,0.0003870647,-0.0000622431,0.0242600000,-0.0008980972,0.3828727046,0.0237393014,6.2930000000,8.6627285326,0.0475284752,6.9960000000,8.5008497191,,-3.6402896650,-6084.9823713232,-6037.3578806033,0.0290791084,0.0016382266
BP.GHIB-BP.GHIB,stretching,base,0.9-1.2,0.0341602885,-0.0001552377,0.0242600000,0.0010001247,3.6179212758,0.0499519059,6.2930000000,8.7863730010,0.1000350190,6.9960000000,8.4866698818,,-3.2581243311,-5950.2170458020,-5902.2298070586,0.0385661114,0.0036434719
BP.GHIB-BP.JCSB,stretching,base,0.9-1.2,0.0423610564,-0.0000140574,0.0242600000,0.0012673296,80.7042338431,0.0265630502,6.2930000000,9.0149692037,0.0537125833,6.9960000000,8.7964083918,,-9.7380910753,-6217.2181755363,-6168.9368044207,0.0381403718,0.0027254473
BP.JCNB-BP.LCCB,stretching,base,0.9-1.2,-0.0000028934,-0.0000132212,0.0242600000,0.0002749196,13.4512112782,0.0413255575,6.2930000000,8.4419894197,0.0828293272,6.9960000000,8.3907007827,,-6.2426661768,-5381.3634824241,-5334.4664871661,0.0457891263,0.0039540373
BP.JCNB-BP.MMNB,stretching,base,0.9-1.2,0.0106244853,-0.0041385871,0.0242600000,-0.0010818675,84.3046044106,0.0056342680,6.2930000000,9.3070911724,0.0124149047,6.9960000000,8.7856436683,,-6.7238365456,-5174.7193596265,-5128.3217429433,0.0444292138,0.0039986063
